Title,Rating,Genre,Cast
Mummies,71.0%,"Animation, Comedy, Family, Adventure, Fantasy","Óscar Barberán, Ana Esther Alborg, Luis Pérez Reina, María Luisa Solá, Jaume Solà, José Luis Mediavilla, José Javier Serrano Rodríguez, Aleix Estadella, María Moscardó"
The Communion Girl,62.0%,Horror,"Carla Campra, Aina Quiñones, Marc Soler, Carlos Oviedo, Olimpia Roch, María Molins, Xavi Lite, Anna Alarcón, Victor Solé"
Two Sinners and a Mule,57.0%,"Western, Action","Cam Gigandet, Chantelle Albers, Hannah James, Cord Newman, Buck Taylor, Luce Rains, Mohamed Karim, Richard Gabai, Robert Woods"
Black Adam,71.0%,"Action, Adventure, Science Fiction, Fantasy","Dwayne Johnson, Aldis Hodge, Noah Centineo, Sarah Shahi, Quintessa Swindell, Marwan Kenzari, Mo Amer, Bodhi Sabongui, Pierce Brosnan"
Kill Boksoon,70%,"Action, Crime, Thriller","Jeon Do-yeon, Sol Kyung-gu, Kim Si-a, Esom, Koo Kyo-hwan, Kim Sung-oh, Lee Yeon, Hwang Jung-min, Choi Byung-mo "
Gangs of Lagos,63.0%,Crime,"Demi Banwo, Adesua Etomi-Wellington, Tobi Bakre, Adebowale Adedayo, Alabi Pasuma, Olarotimi Fakunle"
Winnie the Pooh: Blood and Honey,57.0%,"Horror, Thriller","Craig David Dowsett, Chris Cordell, Amber Doig-Thorne, Natasha Tosini, Maria Taylor, Nikolai Leon, May Kelly, Danielle Ronald, Danielle Scott"
Supercell,63.0%,Action,"Skeet Ulrich, Anne Heche, Daniel Diemer, Jordan Kristine Seamón, Alec Baldwin, Richard Gunn, Praya Lundberg, Johnny Wactor, Anjul Nigam"
Chupa,65.0%,"Adventure, Fantasy, Family","Demián Bichir, Evan Whitten, Christian Slater, Ashley Ciarra, Nickolas Verdugo, Adriana Paz, Gerardo Taracena, Julio Cedillo, Alex Knight"
The Park,60%,"Action, Drama, Horror, Science Fiction, Thriller","Chloe Guidry, Nhedrick Jabier, Carmina Garay, Billy Slaughter, Carli McIntyre, Laura Coover, Presley Richardson, Sean Papajohn, Legend Jay Jones"
Sisu,72.0%,"War, Action","Jorma Tommila, Aksel Hennie, Jack Doolan, Onni Tommila, Mimosa Willamo, Tatu Sinisalo, Wilhelm Enckell, Vincent Willestrand, Arttu Kapulainen"
Ripper's Revenge,56.0%,Horror,"Chris Bell, Rachel Warren, Ayvianna Snow, Carl Wharton, Vicki Glover, Cassandra French, Marcus Langford, Rafe Bird, Danielle Sanderson"
